report_id,site,activity,energy_type,barrier_status,exposure,report_text_clean,report_text,sif_potential,lsr_tag,source
90cd2375,Terminal A,confined space entry for tank cleaning,atmospheric/asphyxiation,uncertain,indirect_proximity,"During confined space entry for tank cleaning at Terminal A, personnel were in the general work area at the time. Gas test reportedly done earlier in the shift, not re-verified. Minor first aid case reported. (PTW ref attached)","During confined space entry for tank cleaning at Terminal A, personnel were in the general work area at the time. Gas test reportedly done earlier in the shift, not re-verified. Minor first aid case reported. (PTW ref attached) Check nahi kiya gaya tha isolation ka.",1,Confined Space,synthetic
2510d890,Rig 4,confined space entry for tank cleaning,atmospheric/asphyxiation,confirmed_present,no_exposure,"During confined space entry for tank cleaning at Rig 4, no personnel were in the vicinity at the time. Isolation was verified and tagged before work began. No injury occurred; worker moved away in time.","During confined space entry for tank cleaning at Rig 4, no personnel were in the vicinity at the time. LOTO was verified and tagged before work began. No injury occurred; worker moved away in time. Supervsor ne bola area khali tha.",0,N/A,synthetic
f84b3a63,Field Station 2,confined space entry for tank cleaning,atmospheric/asphyxiation,uncertain,no_exposure,"During confined space entry for tank cleaning at Field Station 2, the area was clear of workers during the activity. Exclusion zone markers were present but not actively enforced. Near miss — situation was corrected before escalation.","During confined space entry for tank cleaning at Field Station 2, the area was clear of workers during the activity. Exclusion zone markers were present but not actively enforced. Near miss — situation was corrected before escalation.",0,N/A,synthetic
800f9fc4,Rig 4,excavation near buried utility line,low-energy/ergonomic,confirmed_present,no_exposure,"During excavation near buried utility line at Rig 4, the area was clear of workers during the activity. Isolation was verified and tagged before work began. No injury occurred.","During excavation near buried utility line at Rig 4, the area was clear of workers during the activity. Isolation was verified and tagged before work began. No injury occurred.",0,N/A,synthetic
5abfc625,Well Site B,confined space entry for tank cleaning,atmospheric/asphyxiation,confirmed_present,indirect_proximity,"During confined space entry for tank cleaning at Well Site B, personnel were in the general work area at the time. Permit to work was signed off with all checks completed. No injury occurred; worker moved away in time. - LOTO tag #754","During confined space entry for tank cleaning at Well Site B, personnel were in the general work area at the time. PTW was signed off with all checks completed. No injury occurred; worker moved away in time. - LOTO tag #754",0,N/A,synthetic
87c35aaa,Rig 4,pipeline pigging operation,stored/electrical energy,confirmed_present,no_exposure,"During pipeline pigging operation at Rig 4, no personnel were in the vicinity at the time. Exclusion zone was established and maintained throughout. No injury occurred. reported by UA/UC observer","During pipeline pigging operation at Rig 4, no personnel were in the vicinity at the time. Exclusion zone was established and maintained throughout. No injury occurred. reported by UA/UC observer",0,N/A,synthetic
0c933466,Plant C,maintenance on process equipment,stored/electrical energy,confirmed_present,no_exposure,"During maintenance on process equipment at Plant C, the area was clear of workers during the activity. Permit to work was signed off with all checks completed. Near miss — situation was corrected before escalation.","During maintenance on process equipment at Plant C, the area was clear of workers during the activity. Permit to work was signed off with all checks completed. Near miss — situation was corrected before escalation.",0,N/A,synthetic
f826ac63,Rig 4,pipeline pigging operation,kinetic (line of fire),confirmed_present,direct_proximity,"During pipeline pigging operation at Rig 4, personnel were within arm's reach of the live component. Isolation was verified and tagged before work began. Reported as unsafe condition during routine walk-around. (PTW ref attached)","During pipeline pigging operation at Rig 4, personnel were within arm's reach of the live component. LOTO was verified and tagged before work began. Reported as unsafe condition during routine walk-around. (PTW ref attached)",0,N/A,synthetic
03d1e1d1,Rig 7,pipeline pigging operation,stored/electrical energy,confirmed_present,indirect_proximity,"During pipeline pigging operation at Rig 7, a worker was nearby but not directly in the hazard path. Isolation was verified and tagged before work began. No injury occurred. reported by UA/UC observer","During pipeline pigging operation at Rig 7, a worker was nearby but not directly in the hazard path. Isolation was verified and tagged before work began. No injury occurred. reported by UA/UC observer",0,N/A,synthetic
113e274c,Field Station 2,confined space entry for tank cleaning,atmospheric/asphyxiation,uncertain,indirect_proximity,"During confined space entry for tank cleaning at Field Station 2, personnel were in the general work area at the time. Permit was raised but supervisor sign-off could not be located. Reported as unsafe condition during routine walk-around. - LOTO tag #754","During confined space entry for tank cleaning at Field Station 2, personnel were in the general work area at the time. PTW was raised but supervsor sign-off could not be located. Reported as unsafe condition during routine walk-around. - LOTO tag #754 Mazdoor ko turant hataya gaya.",1,Confined Space,synthetic
401059ba,Rig 4,vehicle movement within plant premises,vehicular/motion,confirmed_present,no_exposure,"During vehicle movement within plant premises at Rig 4, no personnel were in the vicinity at the time. Gas test was conducted and confirmed safe prior to entry. No injury occurred. (PTW ref attached)","During vehicle movement within plant premises at Rig 4, no personnel were in the vicinity at the time. Gas test was conducted and confimed safe prior to entry. No injury occurred. (PTW ref attached) Supervsor ne bola area khali tha.",0,N/A,synthetic
f20bd0ab,Field Station 2,hot work / welding near process line,thermal (hot work),confirmed_present,direct_proximity,"During hot work / welding near process line at Field Station 2, personnel were within arm's reach of the live component. Isolation was verified and tagged before work began. Minor first aid case reported.","During hot work / welding near process line at Field Station 2, personnel were within arm's reach of the live component. Isolation was verified and tagged before work began. Minor first aid case reported.",0,N/A,synthetic
ec5c580e,Rig 7,vehicle movement within plant premises,vehicular/motion,absent_not_mentioned,no_exposure,"During vehicle movement within plant premises at Rig 7, no personnel were in the vicinity at the time. Work proceeded without a permit being sighted. Minor first aid case reported.","During vehicle movement within plant premises at Rig 7, no personnel were in the vicinity at the time. Work proceeded without a permit being sighted. Minor first aid case reported.",0,N/A,synthetic
f8319dc3,Rig 4,vehicle movement within plant premises,vehicular/motion,confirmed_present,no_exposure,"During vehicle movement within plant premises at Rig 4, the area was clear of workers during the activity. Gas test was conducted and confirmed safe prior to entry. No injury occurred. (PTW ref attached)","During vehicle movement within plant premises at Rig 4, the area was clear of workers during the activity. Gas test was conducted and confirmed safe prior to entry. No injury occurred. (PTW ref attached)",1,N/A,synthetic
dd399866,Well Site B,vehicle movement within plant premises,vehicular/motion,uncertain,indirect_proximity,"During vehicle movement within plant premises at Well Site B, a worker was nearby but not directly in the hazard path. Isolation status was not clearly confirmed by the crew. Reported as unsafe condition during routine walk-around. (PTW ref attached)","During vehicle movement within plant premises at Well Site B, a worker was nearby but not directly in the hazard path. Isolation status was not clearly confirmed by the crew. Reported as unsafe condition during routine walk-around. (PTW ref attached)",1,Driving,synthetic
61e34c5a,Rig 7,lifting operation with mobile crane,gravitational (suspended load),absent_not_mentioned,indirect_proximity,"During lifting operation with mobile crane at Rig 7, a worker was nearby but not directly in the hazard path. No exclusion zone was set up. Near miss — situation was corrected before escalation. acc to shift log","During lifting operation with mobile crane at Rig 7, a worker was nearby but not directly in the hazard path. No exclusion zone was set up. Near miss — situation was corrected before escalation. acc to shift log",1,Safe Mechanical Lifting,synthetic
33c38e2e,Rig 4,maintenance on process equipment,low-energy/ergonomic,confirmed_present,direct_proximity,"During maintenance on process equipment at Rig 4, the contractor was positioned directly beneath the suspended load. Gas test was conducted and confirmed safe prior to entry. Minor first aid case reported. - LOTO tag #754","During maintenance on process equipment at Rig 4, the contractor was positioned directly beneath the suspended load. Gas test was conducted and confirmed safe prior to entry. Minor first aid case reported. - LOTO tag #754",0,N/A,synthetic
37c4d0bf,Plant C,lifting operation with mobile crane,kinetic (line of fire),confirmed_present,no_exposure,"During lifting operation with mobile crane at Plant C, the area was clear of workers during the activity. Exclusion zone was established and maintained throughout. Near miss — situation was corrected before escalation. - LOTO tag #754","During lifting operation with mobile crane at Plant C, the area was clear of workers during the activity. Exclusion zone was established and maintained throughout. Near miss — situation was corrected before escalation. - LOTO tag #754",0,N/A,synthetic
5a3e4116,Plant C,scaffolding erection at height,fall from height,confirmed_present,no_exposure,"During scaffolding erection at height at Plant C, no personnel were in the vicinity at the time. Exclusion zone was established and maintained throughout. Minor first aid case reported. (PTW ref attached)","During scaffolding erection at height at Plant C, no personnel were in the vicinity at the time. Exclusion zone was established and maintained throughout. Minor first aid case reported. (PTW ref attached) Mazdoor ko turant hataya gaya.",0,N/A,synthetic
da29f25b,Field Station 2,vehicle movement within plant premises,vehicular/motion,uncertain,indirect_proximity,"During vehicle movement within plant premises at Field Station 2, a worker was nearby but not directly in the hazard path. Isolation status was not clearly confirmed by the crew. Minor first aid case reported. acc to shift log","During vehicle movement within plant premises at Field Station 2, a worker was nearby but not directly in the hazard path. Isolation status was not clearly confirmed by the crew. Minor first aid case reported. acc to shift log",1,Driving,synthetic
3d5af196,Terminal A,vehicle movement within plant premises,vehicular/motion,confirmed_present,indirect_proximity,"During vehicle movement within plant premises at Terminal A, a worker was nearby but not directly in the hazard path. Gas test was conducted and confirmed safe prior to entry. Minor first aid case reported. reported by UA/UC observer","During vehicle movement within plant premises at Terminal A, a worker was nearby but not directly in the hazard path. Gas test was conducted and confimed safe prior to entry. Minor first aid case reported. reported by UA/UC observer Supervsor ne bola area khali tha.",0,N/A,synthetic
d1d3d89c,Terminal A,maintenance on process equipment,stored/electrical energy,confirmed_present,direct_proximity,"During maintenance on process equipment at Terminal A, a worker was standing within the immediate hazard zone. Permit to work was signed off with all checks completed. Minor first aid case reported.","During maintainance on process equipment at Terminal A, a worker was standing within the immediate hazard zone. PTW was signed off with all checks completed. Minor first aid case reported.",0,N/A,synthetic
20d6e6e0,Rig 7,excavation near buried utility line,low-energy/ergonomic,uncertain,indirect_proximity,"During excavation near buried utility line at Rig 7, a worker was nearby but not directly in the hazard path. Gas test reportedly done earlier in the shift, not re-verified. Near miss — situation was corrected before escalation.","During excavaton near buried utility line at Rig 7, a worker was nearby but not directly in the hazard path. Gas test reportedly done earlier in the shift, not re-verified. Near miss — situation was corrected before escalation.",0,N/A,synthetic
1eb7d972,Field Station 2,vehicle movement within plant premises,vehicular/motion,confirmed_present,no_exposure,"During vehicle movement within plant premises at Field Station 2, the area was clear of workers during the activity. Gas test was conducted and confirmed safe prior to entry. Minor first aid case reported. reported by UA/UC observer","During vehicle movement within plant premises at Field Station 2, the area was clear of workers during the activity. Gas test was conducted and confimed safe prior to entry. Minor first aid case reported. reported by UA/UC observer",0,N/A,synthetic
2c115769,Field Station 2,lifting operation with mobile crane,gravitational (suspended load),confirmed_present,indirect_proximity,"During lifting operation with mobile crane at Field Station 2, a worker was nearby but not directly in the hazard path. Isolation was verified and tagged before work began. Minor first aid case reported.","During lifting operation with mobile crane at Field Station 2, a worker was nearby but not directly in the hazard path. Isolation was verified and tagged before work began. Minor first aid case reported.",0,N/A,synthetic
11356559,Field Station 2,lifting operation with mobile crane,gravitational (suspended load),confirmed_present,no_exposure,"During lifting operation with mobile crane at Field Station 2, the area was clear of workers during the activity. Gas test was conducted and confirmed safe prior to entry. No injury occurred.","During lifting operation with mobile crane at Field Station 2, the area was clear of workers during the activity. Gas test was conducted and confirmed safe prior to entry. No injury occurred.",0,N/A,synthetic
6499f64a,Terminal A,electrical panel work,stored/electrical energy,confirmed_present,direct_proximity,"During electrical panel work at Terminal A, a technician was inside the equipment when work commenced. Isolation was verified and tagged before work began. No injury occurred. - LOTO tag #754","During electrical panel work at Terminal A, a technician was inside the equipment when work commenced. Isolation was verified and tagged before work began. No injury occurred. - LOTO tag #754",0,N/A,synthetic
ac24deb1,Rig 4,pipeline pigging operation,kinetic (line of fire),confirmed_present,direct_proximity,"During pipeline pigging operation at Rig 4, a technician was inside the equipment when work commenced. Exclusion zone was established and maintained throughout. Near miss — situation was corrected before escalation.","During pipeline pigging operation at Rig 4, a technician was inside the equipment when work commenced. Exclusion zone was established and maintained throughout. Near miss — situation was corrected before escalation.",0,N/A,synthetic
f2e6636b,Field Station 2,excavation near buried utility line,low-energy/ergonomic,uncertain,no_exposure,"During excavation near buried utility line at Field Station 2, no personnel were in the vicinity at the time. Gas test reportedly done earlier in the shift, not re-verified. Near miss — situation was corrected before escalation.","During excavaton near buried utility line at Field Station 2, no personnel were in the vicinity at the time. Gas test reportedly done earlier in the shift, not re-verified. Near miss — situation was corrected before escalation.",0,N/A,synthetic
4245066e,Rig 4,vehicle movement within plant premises,vehicular/motion,uncertain,direct_proximity,"During vehicle movement within plant premises at Rig 4, personnel were within arm's reach of the live component. Exclusion zone markers were present but not actively enforced. Minor first aid case reported. acc to shift log","During vehicle movement within plant premises at Rig 4, personnel were within arm's reach of the live component. Exclusion zone markers were present but not actively enforced. Minor first aid case reported. acc to shift log Mazdoor ko turant hataya gaya.",1,Driving,synthetic
3e479942,Well Site B,electrical panel work,stored/electrical energy,uncertain,direct_proximity,"During electrical panel work at Well Site B, a technician was inside the equipment when work commenced. Gas test reportedly done earlier in the shift, not re-verified. Minor first aid case reported. (PTW ref attached)","During electrical panel work at Well Site B, a technician was inside the equipment when work commenced. Gas test reportedly done earlier in the shift, not re-verified. Minor first aid case reported. (PTW ref attached)",1,Energy Isolation,synthetic
209e0356,Well Site B,routine equipment inspection,low-energy/ergonomic,absent_not_mentioned,no_exposure,"During routine equipment inspection at Well Site B, the area was clear of workers during the activity. No isolation was mentioned in the report. Near miss — situation was corrected before escalation. acc to shift log","During routine equipment inspection at Well Site B, the area was clear of workers during the activity. No isolation was mentioned in the report. Near miss — situation was corrected before escalation. acc to shift log",0,N/A,synthetic
6c08beca,Well Site B,electrical panel work,stored/electrical energy,uncertain,direct_proximity,"During electrical panel work at Well Site B, personnel were within arm's reach of the live component. Gas test reportedly done earlier in the shift, not re-verified. No injury occurred.","During electrical panel work at Well Site B, personnel were within arm's reach of the live component. Gas test reportedly done earlier in the shift, not re-verified. No injury occurred. Supervsor ne bola area khali tha.",1,Energy Isolation,synthetic
f1c229bb,Terminal A,lifting operation with mobile crane,gravitational (suspended load),absent_not_mentioned,indirect_proximity,"During lifting operation with mobile crane at Terminal A, personnel were in the general work area at the time. No isolation was mentioned in the report. No injury occurred. - LOTO tag #754","During lifting operation with mobile crane at Terminal A, personnel were in the general work area at the time. No LOTO was mentioned in the report. No injury occurred. - LOTO tag #754 Supervsor ne bola area khali tha.",1,Safe Mechanical Lifting,synthetic
22dab527,Well Site B,confined space entry for tank cleaning,low-energy/ergonomic,confirmed_present,no_exposure,"During confined space entry for tank cleaning at Well Site B, the area was clear of workers during the activity. Gas test was conducted and confirmed safe prior to entry. Minor first aid case reported.","During confined space entry for tank cleaning at Well Site B, the area was clear of workers during the activity. Gas test was conducted and confimed safe prior to entry. Minor first aid case reported.",0,N/A,synthetic
cd8b86f0,Terminal A,excavation near buried utility line,stored/electrical energy,uncertain,no_exposure,"During excavation near buried utility line at Terminal A, no personnel were in the vicinity at the time. Isolation status was not clearly confirmed by the crew. No injury occurred. - LOTO tag #754","During excavation near buried utility line at Terminal A, no personnel were in the vicinity at the time. Isolation status was not clearly confirmed by the crew. No injury occurred. - LOTO tag #754",0,N/A,synthetic
0456b785,Rig 7,confined space entry for tank cleaning,atmospheric/asphyxiation,uncertain,direct_proximity,"During confined space entry for tank cleaning at Rig 7, personnel were within arm's reach of the live component. Permit was raised but supervisor sign-off could not be located. Near miss — situation was corrected before escalation. - LOTO tag #754","During confined space entry for tank cleaning at Rig 7, personnel were within arm's reach of the live component. Permit was raised but supervisor sign-off could not be located. Near miss — situation was corrected before escalation. - LOTO tag #754",1,Confined Space,synthetic
0151ee9d,Rig 4,hot work / welding near process line,thermal (hot work),absent_not_mentioned,direct_proximity,"During hot work / welding near process line at Rig 4, a technician was inside the equipment when work commenced. Minor first aid case reported.","During hot work / welding near process line at Rig 4, a technician was inside the equipment when work commenced. Minor first aid case reported.",1,Hot Work,synthetic
bce8c509,Terminal A,confined space entry for tank cleaning,atmospheric/asphyxiation,uncertain,direct_proximity,"During confined space entry for tank cleaning at Terminal A, a worker was standing within the immediate hazard zone. Isolation status was not clearly confirmed by the crew. Reported as unsafe condition during routine walk-around. acc to shift log","During confined space entry for tank cleaning at Terminal A, a worker was standing within the immediate hazard zone. Isolation status was not clearly confirmed by the crew. Reported as unsafe condition during routine walk-around. acc to shift log",1,Confined Space,synthetic
34a8c33b,Well Site B,hot work / welding near process line,stored/electrical energy,confirmed_present,indirect_proximity,"During hot work / welding near process line at Well Site B, personnel were in the general work area at the time. Gas test was conducted and confirmed safe prior to entry. No injury occurred.","During hot work / wielding near process line at Well Site B, personnel were in the general work area at the time. Gas test was conducted and confimed safe prior to entry. No injury occurred. Mazdoor ko turant hataya gaya.",0,N/A,synthetic
e3ab5b99,Well Site B,pipeline pigging operation,kinetic (line of fire),uncertain,no_exposure,"During pipeline pigging operation at Well Site B, the area was clear of workers during the activity. Gas test reportedly done earlier in the shift, not re-verified. Near miss — situation was corrected before escalation. acc to shift log","During pipeline pigging operation at Well Site B, the area was clear of workers during the activity. Gas test reportedly done earlier in the shift, not re-verified. Near miss — situation was corrected before escalation. acc to shift log",0,N/A,synthetic
79f7b0d1,Well Site B,hot work / welding near process line,stored/electrical energy,absent_not_mentioned,direct_proximity,"During hot work / welding near process line at Well Site B, personnel were within arm's reach of the live component. Reported as unsafe condition during routine walk-around. (PTW ref attached)","During hot work / wielding near process line at Well Site B, personnel were within arm's reach of the live component. Reported as unsafe condition during routine walk-around. (PTW ref attached)",1,Energy Isolation,synthetic
3e4e20bf,Terminal A,excavation near buried utility line,low-energy/ergonomic,confirmed_present,no_exposure,"During excavation near buried utility line at Terminal A, no personnel were in the vicinity at the time. Isolation was verified and tagged before work began. Minor first aid case reported. (PTW ref attached)","During excavaton near buried utility line at Terminal A, no personnel were in the vicinity at the time. LOTO was verified and tagged before work began. Minor first aid case reported. (PTW ref attached)",0,N/A,synthetic
e0fb9a62,Rig 4,confined space entry for tank cleaning,low-energy/ergonomic,uncertain,indirect_proximity,"During confined space entry for tank cleaning at Rig 4, a worker was nearby but not directly in the hazard path. Permit was raised but supervisor sign-off could not be located. No injury occurred. reported by UA/UC observer","During confined space entry for tank cleaning at Rig 4, a worker was nearby but not directly in the hazard path. PTW was raised but supervsor sign-off could not be located. No injury occurred. reported by UA/UC observer",0,N/A,synthetic
c0350712,Plant C,scaffolding erection at height,gravitational (suspended load),confirmed_present,no_exposure,"During scaffolding erection at height at Plant C, the area was clear of workers during the activity. Gas test was conducted and confirmed safe prior to entry. Minor first aid case reported. acc to shift log","During scaffolding erection at height at Plant C, the area was clear of workers during the activity. Gas test was conducted and confimed safe prior to entry. Minor first aid case reported. acc to shift log Mazdoor ko turant hataya gaya.",0,N/A,synthetic
1d8bb845,Plant C,pipeline pigging operation,stored/electrical energy,confirmed_present,no_exposure,"During pipeline pigging operation at Plant C, no personnel were in the vicinity at the time. Permit to work was signed off with all checks completed. Reported as unsafe condition during routine walk-around.","During pipeline pigging operation at Plant C, no personnel were in the vicinity at the time. PTW was signed off with all checks completed. Reported as unsafe condition during routine walk-around. Mazdoor ko turant hataya gaya.",0,N/A,synthetic
38860be6,Field Station 2,pipeline pigging operation,stored/electrical energy,confirmed_present,no_exposure,"During pipeline pigging operation at Field Station 2, the area was clear of workers during the activity. Exclusion zone was established and maintained throughout. Minor first aid case reported. (PTW ref attached)","During pipeline pigging operation at Field Station 2, the area was clear of workers during the activity. Exclusion zone was established and maintained throughout. Minor first aid case reported. (PTW ref attached)",0,N/A,synthetic
c2cf88b7,Rig 4,scaffolding erection at height,gravitational (suspended load),confirmed_present,direct_proximity,"During scaffolding erection at height at Rig 4, a worker was standing within the immediate hazard zone. Gas test was conducted and confirmed safe prior to entry. Minor first aid case reported.","During scaffolding erection at height at Rig 4, a worker was standing within the immediate hazard zone. Gas test was conducted and confimed safe prior to entry. Minor first aid case reported.",0,N/A,synthetic
1d21c74e,Plant C,maintenance on process equipment,stored/electrical energy,confirmed_present,indirect_proximity,"During maintenance on process equipment at Plant C, a worker was nearby but not directly in the hazard path. Exclusion zone was established and maintained throughout. No injury occurred.","During maintenance on process equipment at Plant C, a worker was nearby but not directly in the hazard path. Exclusion zone was established and maintained throughout. No injury occurred.",0,N/A,synthetic
b18df2eb,Well Site B,routine equipment inspection,low-energy/ergonomic,absent_not_mentioned,indirect_proximity,"During routine equipment inspection at Well Site B, personnel were in the general work area at the time. Minor first aid case reported.","During routine equipment inspection at Well Site B, personnel were in the general work area at the time. Minor first aid case reported.",0,N/A,synthetic
603a15f3,Rig 4,hot work / welding near process line,thermal (hot work),uncertain,direct_proximity,"During hot work / welding near process line at Rig 4, the contractor was positioned directly beneath the suspended load. Exclusion zone markers were present but not actively enforced. No injury occurred; worker moved away in time.","During hot work / wielding near process line at Rig 4, the contractor was positioned directly beneath the suspended load. Exclusion zone markers were present but not actively enforced. No injury occurred; worker moved away in time.",1,Hot Work,synthetic
c17e6917,Terminal A,routine equipment inspection,stored/electrical energy,confirmed_present,direct_proximity,"During routine equipment inspection at Terminal A, a worker was standing within the immediate hazard zone. Gas test was conducted and confirmed safe prior to entry. Minor first aid case reported.","During routine equipment inspection at Terminal A, a worker was standing within the immediate hazard zone. Gas test was conducted and confimed safe prior to entry. Minor first aid case reported.",0,N/A,synthetic
db3f29eb,Terminal A,routine equipment inspection,low-energy/ergonomic,confirmed_present,indirect_proximity,"During routine equipment inspection at Terminal A, a worker was nearby but not directly in the hazard path. Permit to work was signed off with all checks completed. No injury occurred; worker moved away in time. (PTW ref attached)","During routine equipment inspection at Terminal A, a worker was nearby but not directly in the hazard path. Permit to work was signed off with all checks completed. No injury occurred; worker moved away in time. (PTW ref attached)",0,N/A,synthetic
24d76f93,Plant C,routine equipment inspection,stored/electrical energy,confirmed_present,indirect_proximity,"During routine equipment inspection at Plant C, personnel were in the general work area at the time. Permit to work was signed off with all checks completed. Near miss — situation was corrected before escalation. reported by UA/UC observer","During routine equipment inspection at Plant C, personnel were in the general work area at the time. PTW was signed off with all checks completed. Near miss — situation was corrected before escalation. reported by UA/UC observer",0,N/A,synthetic
d027e0a8,Terminal A,excavation near buried utility line,low-energy/ergonomic,confirmed_present,direct_proximity,"During excavation near buried utility line at Terminal A, personnel were within arm's reach of the live component. Isolation was verified and tagged before work began. Reported as unsafe condition during routine walk-around.","During excavation near buried utility line at Terminal A, personnel were within arm's reach of the live component. Isolation was verified and tagged before work began. Reported as unsafe condition during routine walk-around.",0,N/A,synthetic
a2d037c7,Field Station 2,scaffolding erection at height,gravitational (suspended load),absent_not_mentioned,direct_proximity,"During scaffolding erection at height at Field Station 2, a worker was standing within the immediate hazard zone. Near miss — situation was corrected before escalation. reported by UA/UC observer","During scaffolding erection at height at Field Station 2, a worker was standing within the immediate hazard zone. Near miss — situation was corrected before escalation. reported by UA/UC observer",1,Safe Mechanical Lifting,synthetic
01c7e300,Terminal A,lifting operation with mobile crane,kinetic (line of fire),confirmed_present,indirect_proximity,"During lifting operation with mobile crane at Terminal A, personnel were in the general work area at the time. Isolation was verified and tagged before work began. Near miss — situation was corrected before escalation. (PTW ref attached)","During lifting operation with mobile crane at Terminal A, personnel were in the general work area at the time. LOTO was verified and tagged before work began. Near miss — situation was corrected before escalation. (PTW ref attached)",0,N/A,synthetic
